n_estimators,accuracy,f1_score,recall,roc_auc,,,accuracy,f1_score,recall,roc_auc
130,0.98305821,0.911161731,0.869565217,0.989474568,,,,,,
131,0.98305821,0.911161731,0.869565217,0.989390633,,,,,,
132,0.98305821,0.911161731,0.869565217,0.989352862,,,,,,
133,0.98305821,0.911161731,0.869565217,0.989235353,,,,,,
134,0.98305821,0.911161731,0.869565217,0.989283616,,,,,,
135,0.98305821,0.911161731,0.869565217,0.989182894,,,,,,
136,0.98305821,0.911161731,0.869565217,0.989210173,,,,,,
137,0.98305821,0.911161731,0.869565217,0.989157714,,,,,,
138,0.98305821,0.911161731,0.869565217,0.989138828,,,,,,
139,0.983492615,0.913242009,0.869565217,0.989094762,,,,,,
140,0.983492615,0.913242009,0.869565217,0.989048598,,,,,,
141,0.983492615,0.913242009,0.869565217,0.989082172,,,,,,
142,0.983492615,0.913242009,0.869565217,0.989212271,,,,,,
143,0.983492615,0.913242009,0.869565217,0.989199681,,,,,,
144,0.983492615,0.913242009,0.869565217,0.989197583,,,,,,
145,0.98305821,0.910755149,0.865217391,0.989189189,,,,,,
146,0.983492615,0.913242009,0.869565217,0.989111549,,,,,,
147,0.98305821,0.910755149,0.865217391,0.989101058,,,,,,
148,0.98305821,0.910755149,0.865217391,0.989115746,,,,,,
149,0.98305821,0.910755149,0.865217391,0.989157714,,,,,,
150,0.98305821,0.910755149,0.865217391,0.989143025,,,,,,
151,0.98305821,0.910755149,0.865217391,0.989119943,,,,,,
152,0.98305821,0.910755149,0.865217391,0.989138828,,,,,,
153,0.98305821,0.910755149,0.865217391,0.989153517,,,,,,
154,0.98305821,0.910755149,0.865217391,0.989082172,,,,,,
155,0.98305821,0.910755149,0.865217391,0.989075877,,,,,,
156,0.98305821,0.910755149,0.865217391,0.989061189,,,,,,
157,0.98305821,0.910755149,0.865217391,0.989080074,,,,,,
158,0.98305821,0.910755149,0.865217391,0.989040205,,,,,,
159,0.98305821,0.910755149,0.865217391,0.988947876,,,,,,
160,0.98305821,0.910755149,0.865217391,0.988991942,,,,,,
161,0.98305821,0.910755149,0.865217391,0.988989844,,,,,,
162,0.983492615,0.913242009,0.869565217,0.988998237,,,,,,
163,0.983492615,0.913242009,0.869565217,0.989073779,,,,,,
164,0.983492615,0.913242009,0.869565217,0.989279419,,,,,,
165,0.983492615,0.913242009,0.869565217,0.989363354,,,,,,
166,0.983492615,0.913242009,0.869565217,0.989604667,,,,,,
167,0.98305821,0.911161731,0.869565217,0.989571093,,,,,,
168,0.983492615,0.913242009,0.869565217,0.989558503,,,,,,
169,0.98305821,0.911161731,0.869565217,0.989568994,,,,,,
170,0.98305821,0.911161731,0.869565217,0.989642437,,,,,,
171,0.98305821,0.911161731,0.869565217,0.989648733,,,,,,
172,0.98305821,0.910755149,0.865217391,0.989623552,,,,,,
173,0.98305821,0.910755149,0.865217391,0.989566896,,,,,,
174,0.983492615,0.912844037,0.865217391,0.989602568,,,,,,
175,0.98305821,0.910755149,0.865217391,0.989726372,,,,,,
176,0.98305821,0.910755149,0.865217391,0.989657126,,,,,,
177,0.98305821,0.910755149,0.865217391,0.98966552,,,,,,
178,0.98305821,0.910755149,0.865217391,0.989615159,,,,,,
179,0.98305821,0.910755149,0.865217391,0.989560601,,,,,,
180,0.983492615,0.912844037,0.865217391,0.989577388,,,,,,
181,0.983492615,0.912844037,0.865217391,0.989543814,,,,,,
182,0.983492615,0.912844037,0.865217391,0.989476666,,,,,,
183,0.983492615,0.912844037,0.865217391,0.989422108,,,,,,
184,0.983492615,0.912844037,0.865217391,0.989440994,,,,,,
185,0.983492615,0.912844037,0.865217391,0.98942001,,,,,,
186,0.983492615,0.912844037,0.865217391,0.989396928,,,,,,
187,0.983492615,0.912844037,0.865217391,0.989378043,,,,,,
188,0.983492615,0.912844037,0.865217391,0.989346567,,,,,,
189,0.983492615,0.912844037,0.865217391,0.989350764,,,,,,
190,0.983492615,0.912844037,0.865217391,0.989430502,,,,,,
191,0.983492615,0.912844037,0.865217391,0.989392731,,,,,,
192,0.983492615,0.912844037,0.865217391,0.989470371,,,,,,
193,0.983492615,0.912844037,0.865217391,0.989443092,,,,,,
194,0.983492615,0.912844037,0.865217391,0.989480863,,,,,,
195,0.983492615,0.912844037,0.865217391,0.989415813,,,,,,
196,0.983492615,0.912844037,0.865217391,0.989373846,,,,,,
197,0.983492615,0.912844037,0.865217391,0.989357059,,,,,,
198,0.983492615,0.912844037,0.865217391,0.989336075,,,,,,
199,0.983492615,0.912844037,0.865217391,0.989422108,,,,,,
200,0.983492615,0.912844037,0.865217391,0.989430502,,,,,,
201,0.983492615,0.912844037,0.865217391,0.989424207,,,,,,
202,0.983492615,0.912844037,0.865217391,0.989403223,,,,,,
203,0.983492615,0.912844037,0.865217391,0.989440994,,,,,,
204,0.983492615,0.912844037,0.865217391,0.989436797,,,,,,
205,0.983492615,0.912844037,0.865217391,0.989409518,,,,,,
206,0.983492615,0.912844037,0.865217391,0.989415813,,,,,,
207,0.983492615,0.912844037,0.865217391,0.989472469,,,,,,
208,0.983492615,0.912844037,0.865217391,0.98957529,,,,,,
209,0.983492615,0.912844037,0.865217391,0.989537519,,,,,,
210,0.983492615,0.912844037,0.865217391,0.989573191,,,,,,
211,0.98392702,0.915331808,0.869565217,0.98952283,,,,,,
212,0.983492615,0.912844037,0.865217391,0.989518634,,,,,,
