n_estimators,learning_rate,train_ratio,val_ratio,test_ratio,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1
15,0.0043,0.8,0.1,0.1,0.9894768990657192,0.6432934101949043,0.9691981747066493,0.7857142857142857,0.9510603588907015,0.8605166051660517,0.9774747683575469,0.6434610374974695,0.9674479166666666,0.7888888888888889,0.922077922077922,0.8502994011976048,0.9909316443325126,0.6439011375107367,0.9622395833333334,0.75,0.935064935064935,0.8323699421965318
15,0.005,0.6,0.2,0.2,0.9856053051455923,0.636615362477101,0.9669708822251195,0.7759856630824373,0.941304347826087,0.8506876227897839,0.9804912683261706,0.6374672655748215,0.965472312703583,0.7759562841530054,0.922077922077922,0.8427299703264095,0.9855093026115415,0.6370749315566159,0.965472312703583,0.7747252747252747,0.9215686274509803,0.8417910447761194
15,0.005,0.7,0.15,0.15,0.9880746928799943,0.636155497966603,0.9702048417132216,0.7949921752738655,0.9459962756052142,0.8639455782312925,0.959543394326003,0.6368428553659674,0.9652476107732406,0.7952755905511811,0.8782608695652174,0.8347107438016529,0.9896634211851604,0.636398919809048,0.9687228496959166,0.7841726618705036,0.9478260869565217,0.8582677165354331
15,0.005,0.7,0.2,0.1,0.9878756767422645,0.6361299531708345,0.9733656174334141,0.8187702265372169,0.9422718808193669,0.8761904761904762,0.986216338923413,0.6370054125047249,0.9648208469055375,0.7796610169491526,0.9019607843137255,0.8363636363636363,0.9893341101734734,0.6372409850724163,0.9622395833333334,0.7553191489361702,0.922077922077922,0.8304093567251462
15,0.005,0.8,0.1,0.1,0.9894807388589139,0.6356863369559267,0.9691981747066493,0.7857142857142857,0.9510603588907015,0.8605166051660517,0.9774747683575469,0.6358822441437629,0.9674479166666666,0.7888888888888889,0.922077922077922,0.8502994011976048,0.9908940552934764,0.6363894920250427,0.9622395833333334,0.75,0.935064935064935,0.8323699421965318
15,0.0055,0.6,0.2,0.2,0.9855315642516741,0.63139539722374,0.9665362885701869,0.7732142857142857,0.941304347826087,0.8490196078431372,0.9808768349680732,0.6323312525868319,0.9648208469055375,0.7717391304347826,0.922077922077922,0.8402366863905325,0.9851640608003934,0.631944128146289,0.9661237785016287,0.7790055248618785,0.9215686274509803,0.844311377245509
15,0.0055,0.7,0.15,0.15,0.9880558127491743,0.6308400364218232,0.9702048417132216,0.7949921752738655,0.9459962756052142,0.8639455782312925,0.9595350008393486,0.6315933022503704,0.9652476107732406,0.7952755905511811,0.8782608695652174,0.8347107438016529,0.989680208158469,0.631101332205576,0.9687228496959166,0.7841726618705036,0.9478260869565217,0.8582677165354331
15,0.0055,0.7,0.2,0.1,0.985687247955899,0.6307945808122987,0.9735518718569566,0.8180354267310789,0.9459962756052142,0.8773747841105354,0.9836341193496212,0.6317771581260622,0.9661237785016287,0.7885714285714286,0.9019607843137255,0.8414634146341463,0.9899919183566072,0.6320096015418649,0.9635416666666666,0.7634408602150538,0.922077922077922,0.8352941176470589
15,0.0055,0.8,0.1,0.1,0.9895257825867741,0.6303223265113798,0.9691981747066493,0.7857142857142857,0.9510603588907015,0.8605166051660517,0.9774559738380288,0.630568764366401,0.9674479166666666,0.7888888888888889,0.922077922077922,0.8502994011976048,0.9907061100982953,0.6310973980241975,0.9622395833333334,0.75,0.935064935064935,0.8323699421965318
15,0.007,0.6,0.2,0.2,0.9855892973358806,0.6159928167746196,0.9665362885701869,0.7732142857142857,0.941304347826087,0.8490196078431372,0.980787496355925,0.6171827822054821,0.9641693811074918,0.7675675675675676,0.922077922077922,0.8377581120943953,0.9879969353877587,0.6166580528129924,0.9661237785016287,0.7790055248618785,0.9215686274509803,0.844311377245509
