n_estimators,learning_rate,train_ratio,val_ratio,test_ratio,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1,split_label,overfit_auc
225,0.0183,0.8,0.1,0.1,0.9994172375405357,0.05646332737573341,0.9900586701434159,0.9233128834355828,0.9820554649265906,0.9517786561264822,0.9832164940703291,0.07541021428224554,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9828218091604488,0.08567752289707586,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.016200743470206613
235,0.0183,0.8,0.1,0.1,0.9994819232874301,0.053629289392114164,0.9905475880052151,0.9262672811059908,0.9836867862969005,0.9541139240506329,0.9832916721484016,0.07354857559364823,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9824459187700866,0.08380381162351136,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.0161902511390285
245,0.0113,0.8,0.1,0.1,0.9976770728015929,0.09485017806130842,0.9867992177314211,0.9030303030303031,0.9722675367047309,0.9363707776904949,0.981468603755145,0.10555873130703856,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9871633431691319,0.11515409640158342,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.016208469046447904
125,0.0234,0.8,0.1,0.1,0.9981526164203144,0.08748714934846853,0.9877770534550195,0.9113149847094801,0.9722675367047309,0.9408050513022889,0.9822015900163513,0.09993627189716665,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9877647677937114,0.1083511975387409,0.9765625,0.8554216867469879,0.922077922077922,0.8875,80/10/10,0.015951026403963064
105,0.02,0.8,0.1,0.1,0.9949215781313736,0.1319688396130584,0.9854954367666232,0.8933933933933934,0.9706362153344209,0.9304143862392494,0.9792508504520083,0.13831475049380731,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9909128498129945,0.14524813394277944,0.9765625,0.8554216867469879,0.922077922077922,0.8875,80/10/10,0.01567072767936528
375,0.007,0.8,0.1,0.1,0.9971086357244316,0.10179363263744554,0.9869621903520208,0.9044006069802731,0.9722675367047309,0.9371069182389937,0.9814404119758678,0.11101475295512503,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.987708384235157,0.12018487910699312,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.015668223748563803
165,0.0234,0.8,0.1,0.1,0.9992798910916502,0.0611071791798338,0.9895697522816167,0.9203675344563553,0.9804241435562806,0.9494470774091627,0.9811866859623734,0.07990601116764327,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9848516172684044,0.08784381346981866,0.9752604166666666,0.8536585365853658,0.9090909090909091,0.8805031446540881,80/10/10,0.018093205129276813
205,0.02,0.8,0.1,0.1,0.9994455929364345,0.05588341679915255,0.9900586701434159,0.9233128834355828,0.9820554649265906,0.9517786561264822,0.984757644670814,0.0760223690915049,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9841374255267165,0.08403826383128894,0.9791666666666666,0.8860759493670886,0.9090909090909091,0.8974358974358975,80/10/10,0.014687948265620587
85,0.03,0.8,0.1,0.1,0.9965997154417874,0.10544702275499071,0.9869621903520208,0.9044006069802731,0.9722675367047309,0.9371069182389937,0.9812430695209277,0.11495686822211872,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9898979457590167,0.12093475765723953,0.9778645833333334,0.8658536585365854,0.922077922077922,0.8930817610062893,80/10/10,0.015356645920859724
85,0.0298,0.8,0.1,0.1,0.9965047544023968,0.1058893517137068,0.9864732724902217,0.9015151515151515,0.9706362153344209,0.9347996857816182,0.981637754430808,0.1147366212464717,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9899637265773301,0.12148640875023568,0.9765625,0.8554216867469879,0.922077922077922,0.8875,80/10/10,0.014866999971588801
