n_estimators,learning_rate,max_depth,num_leaves,val_auc
150,0.0016,10,80,0.9810911231284258
150,0.0016,12,31,0.9811536622153552
150,0.0016,12,50,0.9824780193503293
150,0.0016,12,80,0.9833829967258949
175,0.0016,8,31,0.9827759997056984
175,0.0016,8,50,0.9833535665673399
175,0.0016,8,80,0.9833535665673399
175,0.0016,10,31,0.9789979031012029
175,0.0016,10,50,0.9809991538829415
175,0.0016,10,80,0.9810874443586065
175,0.0016,12,31,0.981882058639591
175,0.0016,12,50,0.9825589522863555
175,0.0016,12,80,0.9833462090277012
200,0.0016,8,31,0.9829783320457639
200,0.0016,8,50,0.9833866754957143
200,0.0016,8,80,0.9833866754957143
200,0.0016,10,31,0.9794798219475408
200,0.0016,10,50,0.9813743884045175
200,0.0016,10,80,0.9812198800721039
200,0.0016,12,31,0.9824485891917742
200,0.0016,12,50,0.9828091086340728
200,0.0016,12,80,0.9835522201375859
225,0.0016,8,31,0.9829636169664864
225,0.0016,8,50,0.9831806643858292
225,0.0016,8,80,0.9831806643858292
225,0.0016,10,31,0.9795607548835669
225,0.0016,10,50,0.9815583268954862
225,0.0016,10,80,0.9811463046757164
225,0.0016,12,31,0.9825000919692455
225,0.0016,12,50,0.982948901887209
225,0.0016,12,80,0.9835963653754185
250,0.0016,8,31,0.9833719604164367
250,0.0016,8,50,0.9832726336313136
250,0.0016,8,80,0.9832726336313136
250,0.0016,10,31,0.9798734503182136
250,0.0016,10,50,0.981617187212596
250,0.0016,10,80,0.9812493102306589
250,0.0016,12,31,0.982860611411544
250,0.0016,12,50,0.9832579185520363
250,0.0016,12,80,0.9839936725159107
275,0.0016,8,31,0.983375639186256
275,0.0016,8,50,0.983493359820476
275,0.0016,8,80,0.983493359820476
275,0.0016,10,31,0.9798881653974911
275,0.0016,10,50,0.9819262038774234
275,0.0016,10,80,0.9816392598315123
275,0.0016,12,31,0.9829856895854026
275,0.0016,12,50,0.9835522201375859
275,0.0016,12,80,0.9841923260861567
300,0.0016,8,31,0.9835301475186697
300,0.0016,8,50,0.9835080748997534
300,0.0016,8,80,0.9835080748997534
300,0.0016,10,31,0.9804326233307581
300,0.0016,10,50,0.9824044439539418
300,0.0016,10,80,0.9823235110179156
300,0.0016,12,31,0.9832064157745649
300,0.0016,12,50,0.9839715998969945
300,0.0016,12,80,0.9845896332266489
325,0.0016,8,31,0.9833940330353529
325,0.0016,8,50,0.983394033035353
325,0.0016,8,80,0.983394033035353
325,0.0016,10,31,0.9809108634072766
325,0.0016,10,50,0.9831438766876356
325,0.0016,10,80,0.9830850163705257
325,0.0016,12,31,0.9833609241069786
325,0.0016,12,50,0.9839789574366332
325,0.0016,12,80,0.984530772909539
350,0.0016,8,31,0.9833167788691461
350,0.0016,8,50,0.9833756391862561
350,0.0016,8,80,0.9833756391862561
350,0.0016,10,31,0.982268329470625
350,0.0016,10,50,0.9837545524776515
350,0.0016,10,80,0.983622116764154
350,0.0016,12,31,0.9842990104109186
350,0.0016,12,50,0.9845675606077328
350,0.0016,12,80,0.985023728065335
375,0.0016,8,31,0.9835669352168634
375,0.0016,8,50,0.9831659493065519
375,0.0016,8,80,0.9831659493065519
375,0.0016,10,31,0.9827465695471435
375,0.0016,10,50,0.9840635691424788
375,0.0016,10,80,0.9838207703344002
375,0.0016,12,31,0.9844461612036935
375,0.0016,12,50,0.984560203068094
375,0.0016,12,80,0.9851782363977486
400,0.0016,8,31,0.9834602508921017
400,0.0016,8,50,0.9831144465290805
400,0.0016,8,80,0.9831144465290805
400,0.0016,10,31,0.9830703012912482
400,0.0016,10,50,0.9839311334289813
400,0.0016,10,80,0.9837471949380127
400,0.0016,12,31,0.984578596917191
400,0.0016,12,50,0.9843063679505574
400,0.0016,12,80,0.9850274068351543
25,0.0021,8,31,0.9817312290769966
25,0.0021,8,50,0.9837104072398191
25,0.0021,8,80,0.9837104072398191
25,0.0021,10,31,0.9790126181804806
25,0.0021,10,50,0.9822756870102638
25,0.0021,10,80,0.9823051171688187
25,0.0021,12,31,0.9804142294816613
25,0.0021,12,50,0.9837913401758452
25,0.0021,12,80,0.9838796306515102
50,0.0021,8,31,0.9806496707501011
50,0.0021,8,50,0.9813376007063238
50,0.0021,8,80,0.9813376007063238
50,0.0021,10,31,0.9794687856380826
50,0.0021,10,50,0.9819850641945334
50,0.0021,10,80,0.9821690026855019
50,0.0021,12,31,0.9824485891917742
50,0.0021,12,50,0.9828275024831696
50,0.0021,12,80,0.9833793179560755
75,0.0021,8,31,0.9812456314608394
75,0.0021,8,50,0.9819556340359783
75,0.0021,8,80,0.9819556340359783
75,0.0021,10,31,0.9788728249273443
75,0.0021,10,50,0.9819777066548946
75,0.0021,10,80,0.9820512820512821
75,0.0021,12,31,0.9813412794761432
75,0.0021,12,50,0.9828127874038921
75,0.0021,12,80,0.9833793179560756
100,0.0021,8,31,0.9813339219365044
100,0.0021,8,50,0.9819262038774235
100,0.0021,8,80,0.9819262038774235
100,0.0021,10,31,0.9789096126255379
100,0.0021,10,50,0.9816282235220541
100,0.0021,10,80,0.9817606592355517
100,0.0021,12,31,0.9817790530846484
100,0.0021,12,50,0.9828753264908215
100,0.0021,12,80,0.9836920133907222
125,0.0021,8,31,0.9829489018872088
125,0.0021,8,50,0.9831512342272744
125,0.0021,8,80,0.9831512342272744
125,0.0021,10,31,0.9785858808814332
125,0.0021,10,50,0.9814957878085567
125,0.0021,10,80,0.9816429386013317
125,0.0021,12,31,0.9817496229260936
125,0.0021,12,50,0.9827796784755178
125,0.0021,12,80,0.9835301475186697
150,0.0021,8,31,0.9831034102196226
150,0.0021,8,50,0.9832395247029393
150,0.0021,8,80,0.9832395247029393
150,0.0021,10,31,0.9788176433800537
150,0.0021,10,50,0.9820144943530883
150,0.0021,10,80,0.9821542876062244
150,0.0021,12,31,0.9821616451458632
150,0.0021,12,50,0.982860611411544
150,0.0021,12,80,0.9835963653754186
175,0.0021,8,31,0.9832983850200493
175,0.0021,8,50,0.9833314939484235
175,0.0021,8,80,0.9833314939484235
175,0.0021,10,31,0.9794356767097081
175,0.0021,10,50,0.9821910753044182
175,0.0021,10,80,0.9823455836368319
175,0.0021,12,31,0.9823235110179156
175,0.0021,12,50,0.9828458963322666
175,0.0021,12,80,0.9836037229150572
200,0.0021,8,31,0.983206415774565
200,0.0021,8,50,0.9831953794651068
200,0.0021,8,80,0.9831953794651068
200,0.0021,10,31,0.9801567155943052
200,0.0021,10,50,0.9821542876062245
200,0.0021,10,80,0.9821101423683919
200,0.0021,12,31,0.9826104550638265
200,0.0021,12,50,0.9832432034727587
200,0.0021,12,80,0.9839642423573557
225,0.0021,8,31,0.9831365191479968
225,0.0021,8,50,0.9831291616083582
225,0.0021,8,80,0.9831291616083582
225,0.0021,10,31,0.9802817937681638
225,0.0021,10,50,0.9826398852223817
225,0.0021,10,80,0.982514807048523
225,0.0021,12,31,0.9828826840304602
225,0.0021,12,50,0.983463929661921
225,0.0021,12,80,0.9838759518816907
250,0.0021,8,31,0.9831843431556487
250,0.0021,8,50,0.9832321671633006
250,0.0021,8,80,0.9832321671633006
250,0.0021,10,31,0.9807894640032373
250,0.0021,10,50,0.9829194717286539
250,0.0021,10,80,0.9827576058566015
250,0.0021,12,31,0.98329470625023
250,0.0021,12,50,0.9838465217231357
250,0.0021,12,80,0.9841334657690468
275,0.0021,8,31,0.9831107677592613
275,0.0021,8,50,0.9830555862119706
275,0.0021,8,80,0.9830555862119706
275,0.0021,10,31,0.981922525107604
275,0.0021,10,50,0.9833094213295075
275,0.0021,10,80,0.9832284883934812
275,0.0021,12,31,0.9833793179560755
275,0.0021,12,50,0.9839495272780782
275,0.0021,12,80,0.9844277673545966
300,0.0021,8,31,0.9829525806570283
300,0.0021,8,50,0.9827686421660596
300,0.0021,8,80,0.9827686421660596
300,0.0021,10,31,0.982842217562447
300,0.0021,10,50,0.9837876614060258
300,0.0021,10,80,0.9838943457307877
300,0.0021,12,31,0.9837324798587351
300,0.0021,12,50,0.9840598903726594
300,0.0021,12,80,0.9845969907662878
325,0.0021,8,31,0.9831365191479968
325,0.0021,8,50,0.9829157929588346
325,0.0021,8,80,0.9829157929588346
325,0.0021,10,31,0.9832321671633005
325,0.0021,10,50,0.983967921127175
325,0.0021,10,80,0.9838502004929551
325,0.0021,12,31,0.9838575580325939
325,0.0021,12,50,0.9836589044623478
325,0.0021,12,80,0.9843357981091123
350,0.0021,8,31,0.9832983850200493
350,0.0021,8,50,0.9829746532759445
350,0.0021,8,80,0.9829746532759445
350,0.0021,10,31,0.9836589044623478
350,0.0021,10,50,0.9838502004929551
350,0.0021,10,80,0.9838354854136777
350,0.0021,12,31,0.984085641761395
350,0.0021,12,50,0.983622116764154
350,0.0021,12,80,0.9841812897766986
375,0.0021,8,31,0.9835117536695729
375,0.0021,8,50,0.9831806643858294
375,0.0021,8,80,0.9831806643858294
375,0.0021,10,31,0.983651546922709
375,0.0021,10,50,0.9840709266821174
375,0.0021,10,80,0.9840341389839237
375,0.0021,12,31,0.9840047088253688
375,0.0021,12,50,0.9834676084317404
375,0.0021,12,80,0.9843137254901961
400,0.0021,8,31,0.9835779715263215
400,0.0021,8,50,0.9833572453371593
400,0.0021,8,80,0.9833572453371593
400,0.0021,10,31,0.9839237758893425
400,0.0021,10,50,0.9841960048559762
400,0.0021,10,80,0.9841886473163374
400,0.0021,12,31,0.9840194239046463
400,0.0021,12,50,0.9832468822425781
400,0.0021,12,80,0.9842401500938086
25,0.0026,8,31,0.9817385866166354
25,0.0026,8,50,0.983769267556929
25,0.0026,8,80,0.9837692675569288
25,0.0026,10,31,0.9796416878195932
25,0.0026,10,50,0.9822683294706249
25,0.0026,10,80,0.98229775962918
25,0.0026,12,31,0.97878085568186
25,0.0026,12,50,0.9836736195416254
25,0.0026,12,80,0.9837030497001802
50,0.0026,8,31,0.9802597211492476
50,0.0026,8,50,0.9804546959496744
50,0.0026,8,80,0.9804546959496744
50,0.0026,10,31,0.9797042269065224
50,0.0026,10,50,0.9822720082404444
50,0.0026,10,80,0.9825074495088841
50,0.0026,12,31,0.9822425780818895
50,0.0026,12,50,0.983018798513777
50,0.0026,12,80,0.9834749659713793
75,0.0026,8,31,0.981230916381562
75,0.0026,8,50,0.9818599860206747
75,0.0026,8,80,0.9818599860206747
75,0.0026,10,31,0.9793657800831401
75,0.0026,10,50,0.9821506088364051
75,0.0026,10,80,0.9823492624066512
75,0.0026,12,31,0.9814921090387374
75,0.0026,12,50,0.9832652760916749
75,0.0026,12,80,0.9840893205312143
100,0.0026,8,31,0.9821837177647794
100,0.0026,8,50,0.9828127874038921
100,0.0026,8,80,0.9828127874038921
100,0.0026,10,31,0.9790825148070484
100,0.0026,10,50,0.9821910753044182
100,0.0026,10,80,0.9823455836368318
100,0.0026,12,31,0.9811867711437294
100,0.0026,12,50,0.9830519074421513
100,0.0026,12,80,0.9840010300555494
125,0.0026,8,31,0.9828238237133502
125,0.0026,8,50,0.9832395247029393
125,0.0026,8,80,0.9832395247029393
125,0.0026,10,31,0.9795386822646506
125,0.0026,10,50,0.9826472427620203
125,0.0026,10,80,0.9827502483169628
125,0.0026,12,31,0.9818857374094102
125,0.0026,12,50,0.9830077622043188
125,0.0026,12,80,0.9837876614060259
150,0.0026,8,31,0.9829930471250413
150,0.0026,8,50,0.9832468822425781
150,0.0026,8,80,0.9832468822425781
150,0.0026,10,31,0.9799028804767684
150,0.0026,10,50,0.9829194717286539
150,0.0026,10,80,0.98317698561601
150,0.0026,12,31,0.9819813854247139
150,0.0026,12,50,0.9828826840304602
150,0.0026,12,80,0.983898024500607
175,0.0026,8,31,0.9831365191479968
175,0.0026,8,50,0.9833094213295074
175,0.0026,8,80,0.9833094213295074
175,0.0026,10,31,0.9803627267041901
175,0.0026,10,50,0.9829194717286539
175,0.0026,10,80,0.9831328403781775
175,0.0026,12,31,0.9827208181584078
175,0.0026,12,50,0.9832468822425781
175,0.0026,12,80,0.9843063679505574
200,0.0026,8,31,0.9830703012912483
200,0.0026,8,50,0.9832836699407718
200,0.0026,8,80,0.9832836699407718
200,0.0026,10,31,0.9810359415811353
200,0.0026,10,50,0.9833020637898686
200,0.0026,10,80,0.9836110804546959
200,0.0026,12,31,0.9829194717286539
200,0.0026,12,50,0.9836074016848766
200,0.0026,12,80,0.9845050215208034
225,0.0026,8,31,0.9832174520840231
225,0.0026,8,50,0.9831585917669131
225,0.0026,8,80,0.9831585917669131
225,0.0026,10,31,0.9821947540742375
225,0.0026,10,50,0.9840598903726594
225,0.0026,10,80,0.9840157451348268
225,0.0026,12,31,0.9834308207335467
225,0.0026,12,50,0.9838796306515101
225,0.0026,12,80,0.9846595298532171
250,0.0026,8,31,0.9830776588308869
250,0.0026,8,50,0.9830923739101645
250,0.0026,8,80,0.9830923739101645
250,0.0026,10,31,0.9829820108155835
250,0.0026,10,50,0.9842107199352537
250,0.0026,10,80,0.9841592171577824
250,0.0026,12,31,0.9835411838281278
250,0.0026,12,50,0.9838722731118713
250,0.0026,12,80,0.9846963175514108
275,0.0026,8,31,0.9831733068461906
275,0.0026,8,50,0.9830923739101645
275,0.0026,8,80,0.9830923739101645
275,0.0026,10,31,0.9832395247029394
275,0.0026,10,50,0.9841665746974211
275,0.0026,10,80,0.98405621160284
275,0.0026,12,31,0.9835338262884891
275,0.0026,12,50,0.9838649155722327
275,0.0026,12,80,0.9845859544568296
300,0.0026,8,31,0.9832983850200493
300,0.0026,8,50,0.9832689548614943
300,0.0026,8,80,0.9832689548614943
300,0.0026,10,31,0.9839752786668138
300,0.0026,10,50,0.9842401500938086
300,0.0026,10,80,0.9841297869992275
300,0.0026,12,31,0.983563256447044
300,0.0026,12,50,0.9838207703344002
300,0.0026,12,80,0.9848140381856307
325,0.0026,8,31,0.9834234631939079
325,0.0026,8,50,0.9835485413677666
325,0.0026,8,80,0.9835485413677666
325,0.0026,10,31,0.9842107199352537
325,0.0026,10,50,0.9840488540632013
325,0.0026,10,80,0.983967921127175
325,0.0026,12,31,0.9838428429533165
325,0.0026,12,50,0.9832100945443843
325,0.0026,12,80,0.9844829489018873
350,0.0026,8,31,0.9834087481146305
350,0.0026,8,50,0.9836883346209028
350,0.0026,8,80,0.9836883346209028
350,0.0026,10,31,0.9842695802523637
350,0.0026,10,50,0.9839973512857301
350,0.0026,10,80,0.983886988191149
350,0.0026,12,31,0.9841592171577824
350,0.0026,12,50,0.9831953794651068
350,0.0026,12,80,0.9842842953316411
375,0.0026,8,31,0.9835485413677667
375,0.0026,8,50,0.9836294743037928
375,0.0026,8,80,0.9836294743037928
375,0.0026,10,31,0.984490306441526
