n_estimators,learning_rate,val_auc,test_accuracy,test_f1,test_recall,test_auc
230,0.0215,0.9826509215318397,0.9798045602605863,0.8970099667774086,0.8823529411764706,0.9852350008985747
240,0.0215,0.9831144465290806,0.9791530944625407,0.8947368421052632,0.8888888888888888,0.9850505566433037
250,0.0215,0.9827980723246147,0.9791530944625407,0.8947368421052632,0.8888888888888888,0.9845776226554298
260,0.0215,0.9830114409741382,0.9791530944625407,0.8947368421052632,0.8888888888888888,0.9841756287657369
270,0.0215,0.9833131000993267,0.9785016286644951,0.8910891089108911,0.8823529411764706,0.9836554013790756
280,0.0215,0.9834823235110179,0.9778501628664495,0.8881578947368421,0.8823529411764706,0.9836128373201669
290,0.0215,0.9833646028767979,0.9785016286644951,0.8910891089108911,0.8823529411764706,0.9830216698353244
300,0.0215,0.9836221167641541,0.9785016286644951,0.8910891089108911,0.8823529411764706,0.9828041202009024
310,0.0215,0.9839090608100651,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.982520359808178
320,0.0215,0.9836441893830703,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.9825061717885417
330,0.0215,0.9836736195416252,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.9823784796118158
340,0.0215,0.9837913401758451,0.9785016286644951,0.8910891089108911,0.8823529411764706,0.9821656593172725
350,0.0215,0.9838060552551228,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.9817069133490347
360,0.0215,0.9841077143803112,0.9798045602605863,0.8970099667774086,0.8823529411764706,0.9815413864532788
370,0.0215,0.9841077143803113,0.9791530944625407,0.8933333333333333,0.8758169934640523,0.9810400764261324
380,0.0215,0.9838649155722327,0.9798045602605863,0.8963210702341137,0.8758169934640523,0.980992783027345
390,0.0215,0.9838060552551227,0.9791530944625407,0.8933333333333333,0.8758169934640523,0.9810353470862536
400,0.0215,0.9836515469227091,0.9791530944625407,0.8933333333333333,0.8758169934640523,0.9810353470862537
100,0.0359,0.9831733068461906,0.9771986970684039,0.8881789137380192,0.9084967320261438,0.9855518666704501
110,0.0359,0.9828716477210021,0.9785016286644951,0.8938906752411575,0.9084967320261438,0.98442628377931
120,0.0359,0.9824596255012324,0.9778501628664495,0.8896103896103896,0.8954248366013072,0.9834946038231983
130,0.0359,0.9824669830408712,0.9785016286644951,0.8925081433224755,0.8954248366013072,0.9828514135996896
140,0.0359,0.9820770334400177,0.9778501628664495,0.8888888888888888,0.8888888888888888,0.9827993908610236
150,0.0359,0.9822904020895412,0.9785016286644951,0.8918032786885246,0.8888888888888888,0.9818062294864883
160,0.0359,0.9818857374094104,0.9778501628664495,0.8881578947368421,0.8823529411764706,0.9815035517342489
170,0.0359,0.9817753743148292,0.9778501628664495,0.8881578947368421,0.8823529411764706,0.9813853182372806
180,0.0359,0.9816576536806091,0.9785016286644951,0.8910891089108911,0.8823529411764706,0.9803401341240789
190,0.0359,0.9818268770923003,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.9793706194489373
200,0.0359,0.9819445977265202,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.97928549133112
210,0.0359,0.9816723687598867,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.9791152350954854
