n_estimators,learning_rate,max_depth,num_leaves,val_auc
250,0.0013,8,31,0.9869158278003856
250,0.0013,8,50,0.9869158278003854
250,0.0013,8,80,0.9869158278003854
250,0.0013,10,31,0.9862968515742129
250,0.0013,10,50,0.9857314200042835
250,0.0013,10,80,0.9857314200042835
250,0.0013,12,31,0.9848939815806381
250,0.0013,12,50,0.9833668879845792
250,0.0013,12,80,0.9833347611908332
275,0.0013,8,31,0.9867402013279075
275,0.0013,8,50,0.9867402013279075
275,0.0013,8,80,0.9867402013279075
275,0.0013,10,31,0.9866738059541658
275,0.0013,10,50,0.9858042407367744
275,0.0013,10,80,0.9858042407367744
275,0.0013,12,31,0.9850439066181195
275,0.0013,12,50,0.9835168130220603
275,0.0013,12,80,0.9835960591133004
300,0.0013,8,31,0.9873591775540801
300,0.0013,8,50,0.9873634611265796
300,0.0013,8,80,0.9873634611265796
300,0.0013,10,31,0.9872049689440994
300,0.0013,10,50,0.985879203255515
300,0.0013,10,80,0.985879203255515
300,0.0013,12,31,0.9852109659455988
300,0.0013,12,50,0.9836860141357893
300,0.0013,12,80,0.9837502677232812
325,0.0013,8,31,0.9878025273077746
325,0.0013,8,50,0.9877939601627758
325,0.0013,8,80,0.9877939601627758
325,0.0013,10,31,0.9872199614478474
325,0.0013,10,50,0.9862111801242236
325,0.0013,10,80,0.9862111801242236
325,0.0013,12,31,0.9854508460055686
325,0.0013,12,50,0.9841229385307346
325,0.0013,12,80,0.9842857142857144
350,0.0013,8,31,0.9882351681302206
350,0.0013,8,50,0.9882565859927178
350,0.0013,8,80,0.9882565859927178
350,0.0013,10,31,0.9871899764403512
350,0.0013,10,50,0.9865281644891839
350,0.0013,10,80,0.9865281644891839
350,0.0013,12,31,0.9856286142642965
350,0.0013,12,50,0.9846626686656672
350,0.0013,12,80,0.9847012208181624
375,0.0013,8,31,0.9883165560077105
375,0.0013,8,50,0.9883122724352109
375,0.0013,8,80,0.9883122724352109
375,0.0013,10,31,0.9872199614478476
375,0.0013,10,50,0.9866224030841722
375,0.0013,10,80,0.9866224030841722
375,0.0013,12,31,0.9860012850717498
375,0.0013,12,50,0.9848083101306488
375,0.0013,12,80,0.9849582351681301
400,0.0013,8,31,0.9884450631826943
400,0.0013,8,50,0.9884407796101948
400,0.0013,8,80,0.9884407796101948
400,0.0013,10,31,0.9873099164703363
400,0.0013,10,50,0.9867851788391517
400,0.0013,10,80,0.9867851788391517
400,0.0013,12,31,0.9862454487042193
400,0.0013,12,50,0.984928250160634
400,0.0013,12,80,0.9849582351681303
25,0.0016,8,31,0.9880895266652389
25,0.0016,8,50,0.9880895266652389
25,0.0016,8,80,0.9880895266652389
25,0.0016,10,31,0.9866116941529235
25,0.0016,10,50,0.9865046048404369
25,0.0016,10,80,0.9865046048404369
25,0.0016,12,31,0.9844913257656887
25,0.0016,12,50,0.9836110516170484
25,0.0016,12,80,0.9836024844720497
50,0.0016,8,31,0.9882287427714713
50,0.0016,8,50,0.9882287427714714
50,0.0016,8,80,0.9882287427714714
50,0.0016,10,31,0.9862925680017134
50,0.0016,10,50,0.9859584493467553
50,0.0016,10,80,0.9859584493467553
50,0.0016,12,31,0.9828207324908974
50,0.0016,12,50,0.9829963589633754
50,0.0016,12,80,0.9829706575283786
75,0.0016,8,31,0.9872520882415934
75,0.0016,8,50,0.9872520882415935
75,0.0016,8,80,0.9872520882415935
75,0.0016,10,31,0.9855557935318056
75,0.0016,10,50,0.9855429428143071
75,0.0016,10,80,0.9855429428143071
75,0.0016,12,31,0.9827886056971513
75,0.0016,12,50,0.9830434782608696
75,0.0016,12,80,0.9830263439708717
100,0.0016,8,31,0.9871492825016064
100,0.0016,8,50,0.9871492825016063
100,0.0016,8,80,0.9871492825016063
100,0.0016,10,31,0.9851788391518527
100,0.0016,10,50,0.9851145855643606
100,0.0016,10,80,0.9851145855643606
100,0.0016,12,31,0.9830627543371171
100,0.0016,12,50,0.982735061040908
100,0.0016,12,80,0.9827993146284001
125,0.0016,8,31,0.9874298565003212
125,0.0016,8,50,0.9874298565003213
125,0.0016,8,80,0.9874298565003213
125,0.0016,10,31,0.9854487042193188
125,0.0016,10,50,0.98520025701435
125,0.0016,10,80,0.98520025701435
125,0.0016,12,31,0.9836239023345471
125,0.0016,12,50,0.9827479117584066
125,0.0016,12,80,0.982687941743414
150,0.0016,8,31,0.9877789676590276
150,0.0016,8,50,0.9877789676590276
150,0.0016,8,80,0.9877789676590276
150,0.0016,10,31,0.985688584279289
150,0.0016,10,50,0.9854615549368175
150,0.0016,10,80,0.9854615549368175
150,0.0016,12,31,0.9838509316770186
150,0.0016,12,50,0.9830777468408654
150,0.0016,12,80,0.9830863139858642
175,0.0016,8,31,0.9877061469265367
175,0.0016,8,50,0.9877104304990361
175,0.0016,8,80,0.9877104304990361
175,0.0016,10,31,0.9859691582780037
175,0.0016,10,50,0.9857464125080317
175,0.0016,10,80,0.9857464125080317
175,0.0016,12,31,0.9845491539944314
