n_estimators,learning_rate,max_depth,num_leaves,val_auc
275,0.001,12,80,0.9827714714071536
300,0.001,8,31,0.9872370957378453
300,0.001,8,50,0.9873784536303276
300,0.001,8,80,0.9873784536303276
300,0.001,10,31,0.9864831869779396
300,0.001,10,50,0.9860227029342472
300,0.001,10,80,0.9860655386592418
300,0.001,12,31,0.9843007067894625
300,0.001,12,50,0.9826600985221675
300,0.001,12,80,0.9826772328121653
325,0.001,8,31,0.9870893124866138
325,0.001,8,50,0.987183551081602
325,0.001,8,80,0.987183551081602
325,0.001,10,31,0.9865645748554295
325,0.001,10,50,0.9860055686442494
325,0.001,10,80,0.9860141357892482
325,0.001,12,31,0.9844035125294495
325,0.001,12,50,0.9829985007496252
325,0.001,12,80,0.9830370529021202
350,0.001,8,31,0.9868494324266439
350,0.001,8,50,0.9868837010066396
350,0.001,8,80,0.9868837010066396
350,0.001,10,31,0.9867102163204112
350,0.001,10,50,0.9860783893767402
350,0.001,10,80,0.9860826729492397
350,0.001,12,31,0.9844806168344398
350,0.001,12,50,0.9831998286571001
350,0.001,12,80,0.9832169629470978
375,0.001,8,31,0.9866545298779182
375,0.001,8,50,0.9867402013279075
375,0.001,8,80,0.9867402013279075
375,0.001,10,31,0.9869565217391304
375,0.001,10,50,0.9861383593917327
375,0.001,10,80,0.9861426429642322
375,0.001,12,31,0.9846348254444206
375,0.001,12,50,0.9832255300920968
375,0.001,12,80,0.9833026343970872
400,0.001,8,31,0.9866845148854144
400,0.001,8,50,0.9867230670379096
400,0.001,8,80,0.9867230670379096
400,0.001,10,31,0.9870678946241165
400,0.001,10,50,0.9862711501392161
400,0.001,10,80,0.9862840008567145
400,0.001,12,31,0.9847590490469051
400,0.001,12,50,0.9834182908545726
400,0.001,12,80,0.9834397087170701
25,0.0013,8,31,0.9872071107303491
25,0.0013,8,50,0.9873527521953309
25,0.0013,8,80,0.9873527521953309
25,0.0013,10,31,0.9866866566716641
25,0.0013,10,50,0.9859327479117586
25,0.0013,10,80,0.9859541657742557
