n_estimators,learning_rate,train_ratio,val_ratio,test_ratio,n_train,n_val,n_test,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1,overfit_auc,overfit_logloss,split_label,config_label
75,0.05,0.8,0.1,0.1,6136,768,768,0.999025874003389,0.0653313069263959,0.9889178617992177,0.9198767334360555,0.9738988580750407,0.9461172741679873,0.978527261450561,0.0837092075362224,0.98046875,0.8974358974358975,0.9090909090909091,0.9032258064516129,0.9885447403537129,0.08724236307471911,0.98046875,0.8974358974358975,0.9090909090909091,0.9032258064516129,0.020498612552828033,0.018377900609826497,80/10/10,n=75 lr=0.05 split=80/10/10
300,0.01,0.8,0.1,0.1,6136,768,768,0.9984281954242071,0.08558920158313453,0.9871251629726207,0.9057750759878419,0.9722675367047309,0.937844217151849,0.9797958915180333,0.09915767863542065,0.98046875,0.8974358974358975,0.9090909090909091,0.9032258064516129,0.9854906309320202,0.10782646036018524,0.9778645833333334,0.875,0.9090909090909091,0.89171974522293,0.018632303906173875,0.013568477052286115,80/10/10,n=300 lr=0.01 split=80/10/10
90,0.05,0.8,0.1,0.1,6136,768,768,0.9994420485119473,0.05247249789472704,0.9905475880052151,0.9275808936825886,0.9820554649265906,0.9540412044374009,0.9812242750014095,0.07524292238211362,0.98046875,0.8974358974358975,0.9090909090909091,0.9032258064516129,0.9862424117127446,0.07684927848043561,0.98046875,0.8974358974358975,0.9090909090909091,0.9032258064516129,0.01821777351053777,0.02277042448738658,80/10/10,n=90 lr=0.05 split=80/10/10
60,0.05,0.8,0.1,0.1,6136,768,768,0.9982728314841776,0.08597086671812885,0.988754889178618,0.9197530864197531,0.9722675367047309,0.9452815226011102,0.9766947957975454,0.09889673201318198,0.98046875,0.8974358974358975,0.9090909090909091,0.9032258064516129,0.9904429868250418,0.10480893466869674,0.9791666666666666,0.8860759493670886,0.9090909090909091,0.8974358974358975,0.02157803568663219,0.01292586529505313,80/10/10,n=60 lr=0.05 split=80/10/10
105,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,0.0011167019394151714,1.0,1.0,1.0,1.0,0.9835522913003,0.08087241046097836,0.9811074918566776,0.9310344827586207,0.8766233766233766,0.903010033444816,0.9797158612600853,0.08644679740808403,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,0.016447708699700025,0.07975570852156319,60/20/20,n=105 lr=0.2 split=60/20/20
120,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,0.000658357311380397,1.0,1.0,1.0,1.0,0.9836980542990682,0.08445118636080476,0.9811074918566776,0.9310344827586207,0.8766233766233766,0.903010033444816,0.9793091380305137,0.09127698753301271,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,0.016301945700931797,0.08379282904942437,60/20/20,n=120 lr=0.2 split=60/20/20
105,0.1,0.6,0.2,0.2,4602,1535,1535,1.0,0.011644964660973145,0.9995654063450674,0.9956709956709957,1.0,0.9978308026030369,0.9836839482024131,0.06760920537564462,0.9804560260586319,0.9078947368421053,0.8961038961038961,0.9019607843137255,0.9812907314397056,0.06974040615163053,0.9791530944625407,0.9006622516556292,0.8888888888888888,0.8947368421052632,0.016316051797586884,0.05596424071467147,60/20/20,n=105 lr=0.1 split=60/20/20
120,0.1,0.6,0.2,0.2,4602,1535,1535,1.0,0.008833798626331596,1.0,1.0,1.0,1.0,0.98352407910699,0.06751078441080317,0.9804560260586319,0.9078947368421053,0.8961038961038961,0.9019607843137255,0.9812765434200694,0.07072774989942983,0.9804560260586319,0.912751677852349,0.8888888888888888,0.9006622516556292,0.016475920893009977,0.05867698578447158,60/20/20,n=120 lr=0.1 split=60/20/20
270,0.1,0.6,0.2,0.2,4602,1535,1535,1.0,0.000514057071758664,1.0,1.0,1.0,1.0,0.9820946613126194,0.08807082043926702,0.9804560260586319,0.9133333333333333,0.8896103896103896,0.9013157894736842,0.9773086272618068,0.09638183874760563,0.9824104234527687,0.9375,0.8823529411764706,0.9090909090909091,0.017905338687380645,0.08755676336750835,60/20/20,n=270 lr=0.1 split=60/20/20
300,0.05,0.6,0.2,0.2,4602,1535,1535,1.0,0.004771927074905522,1.0,1.0,1.0,1.0,0.982207510085859,0.06882964501572698,0.9804560260586319,0.9133333333333333,0.8896103896103896,0.9013157894736842,0.9789780842390018,0.07246919870356787,0.9804560260586319,0.9241379310344827,0.8758169934640523,0.8993288590604027,0.017792489914140952,0.06405771794082146,60/20/20,n=300 lr=0.05 split=60/20/20
285,0.1,0.6,0.2,0.2,4602,1535,1535,1.0,0.0003889322396085843,1.0,1.0,1.0,1.0,0.9823720812135005,0.09068335376028375,0.9804560260586319,0.9133333333333333,0.8896103896103896,0.9013157894736842,0.9770532429083548,0.09938830531434842,0.9824104234527687,0.9375,0.8823529411764706,0.9090909090909091,0.017627918786499497,0.09029442152067517,60/20/20,n=285 lr=0.1 split=60/20/20
60,0.1,0.8,0.1,0.1,6136,768,768,0.9998549739647252,0.0344130222734375,0.9947848761408083,0.9560439560439561,0.9934747145187602,0.9744,0.9818632886650253,0.06701971690234225,0.98046875,0.918918918918919,0.8831168831168831,0.9006622516556292,0.9856973706467195,0.06923151832472585,0.98046875,0.8974358974358975,0.9090909090909091,0.9032258064516129,0.017991685299699967,0.032606694628904746,80/10/10,n=60 lr=0.1 split=80/10/10
60,0.2,0.7,0.15,0.15,5370,1151,1151,0.9999999999999999,0.0077363023129159965,1.0,1.0,1.0,1.0,0.9657797549101897,0.08073612173593225,0.9808861859252823,0.9428571428571428,0.8608695652173913,0.9,0.9816350512002686,0.06465844617702422,0.9808861859252823,0.9428571428571428,0.8608695652173913,0.9,0.03422024508981014,0.07299981942301625,70/15/15,n=60 lr=0.2 split=70/15/15
165,0.05,0.7,0.15,0.15,5370,1151,1151,0.999998458764831,0.018396734737742546,0.9981378026070763,0.9817184643510055,1.0,0.9907749077490775,0.9669716300151082,0.0713675796591637,0.9808861859252823,0.9514563106796117,0.8521739130434782,0.8990825688073395,0.9893906328688937,0.05494862510664663,0.9808861859252823,0.918918918918919,0.8869565217391304,0.9026548672566371,0.033026828749722736,0.05297084492142115,70/15/15,n=165 lr=0.05 split=70/15/15
180,0.05,0.7,0.15,0.15,5370,1151,1151,1.0,0.015283924414161414,0.9988826815642458,0.988950276243094,1.0,0.9944444444444445,0.9679033070337418,0.0719596348602761,0.9808861859252823,0.9514563106796117,0.8521739130434782,0.8990825688073395,0.9879553466509988,0.05511305169100059,0.9817549956559514,0.9272727272727272,0.8869565217391304,0.9066666666666666,0.03209669296625817,0.05667571044611468,70/15/15,n=180 lr=0.05 split=70/15/15
240,0.1,0.7,0.15,0.15,5370,1151,1151,1.0,0.0007734510060437999,1.0,1.0,1.0,1.0,0.9615074702031223,0.10770011922334259,0.9808861859252823,0.9514563106796117,0.8521739130434782,0.8990825688073395,0.9811901964075878,0.07969869933232912,0.9817549956559514,0.9519230769230769,0.8608695652173913,0.9041095890410958,0.03849252979687767,0.10692666821729879,70/15/15,n=240 lr=0.1 split=70/15/15
