n_estimators,rf_accuracy,rf_f1,rf_recall,rf_auc,lgbm_accuracy,lgbm_f1,lgbm_recall,lgbm_auc,hyb_accuracy,hyb_f1,hyb_recall,hyb_auc
92,0.9834926151172894,0.9140271493212669,0.8782608695652174,0.9891745005875441,0.9756733275412685,0.8823529411764706,0.9130434782608695,0.9860206479771698,0.977845351867941,0.8907922912205567,0.9043478260869565,0.9877203290246769
93,0.9834926151172894,0.9140271493212669,0.8782608695652174,0.989145123384254,0.9756733275412685,0.8823529411764706,0.9130434782608695,0.9859744838005708,0.9782797567332754,0.8927038626609443,0.9043478260869565,0.987688853449723
94,0.9834926151172894,0.9140271493212669,0.8782608695652174,0.9891220412959543,0.9756733275412685,0.8823529411764706,0.9130434782608695,0.9858548766157461,0.9782797567332754,0.8927038626609443,0.9043478260869565,0.987628000671479
95,0.9830582102519548,0.9115646258503401,0.8739130434782608,0.9890926640926642,0.9748045178105995,0.8781512605042017,0.908695652173913,0.9858317945274467,0.977845351867941,0.8907922912205567,0.9043478260869565,0.9876154104414974
96,0.9830582102519548,0.9115646258503401,0.8739130434782608,0.9889667617928487,0.974370112945265,0.8757894736842106,0.9043478260869565,0.985815007554138,0.9787141615986099,0.8946236559139785,0.9043478260869565,0.9875272788316267
97,0.9834926151172894,0.9136363636363637,0.8739130434782608,0.9888471546080242,0.974370112945265,0.8757894736842106,0.9043478260869565,0.9857982205808293,0.9787141615986099,0.8941684665226782,0.9,0.98741816350512
98,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.9888387611213698,0.974370112945265,0.8757894736842106,0.9043478260869565,0.9859639919422528,0.9800173761946134,0.9004329004329005,0.9043478260869565,0.9875545576632533
99,0.9821894005212859,0.9070294784580499,0.8695652173913043,0.9889415813328857,0.9748045178105995,0.8771186440677966,0.9,0.985896844049018,0.9791485664639444,0.8961038961038961,0.9,0.9875440658049354
100,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9889688601645124,0.9752389226759339,0.8789808917197452,0.9,0.9859849756588888,0.9791485664639444,0.8961038961038961,0.9,0.9875944267248614
101,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9889751552795031,0.9752389226759339,0.8789808917197452,0.9,0.9858674668457277,0.9791485664639444,0.8956521739130435,0.8956521739130435,0.9875461641765989
