n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,val_auc,best_n_estimators
401,0.21821899206415865,7,85,24,0.50165301934304,0.8668193341200884,0.5955530585591373,0.007226283528802069,0.9883422574427072,10
462,0.016973919556922602,8,76,40,0.6128611314512371,0.936973113784215,0.0007913102359082761,0.010930926221300182,0.9883208395802099,135
174,0.0030133699246494075,4,54,35,0.6037242911996493,0.6109513288699826,0.003268153177748783,0.03433319769541047,0.9882672949239666,34
367,0.16123063330678244,11,41,22,0.5438225540174095,0.6376390975117461,1.1803557470025832,2.822006842408908,0.9882223174127222,20
268,0.035685492827940736,14,75,29,0.5584889757450664,0.7183980267365779,1.3930465713070126,0.5207584245106907,0.9881387877489826,44
334,0.04229630578512571,11,20,21,0.7200121667175527,0.7528595681845737,0.40394865512473593,0.4264930563819603,0.9881323623902334,15
244,0.005265139631677754,11,38,36,0.6831809216468459,0.728034992108518,0.8431013932082461,0.0009962513222055108,0.9881023773827371,14
52,0.10471209213501693,12,115,80,0.5370223258670452,0.6792328642721364,0.00037961668958008145,2.0678409397839492,0.987663311201542,28
187,0.0017456037635797405,12,77,21,0.7475884550556351,0.5171942605576092,3.5204810455260365,0.0019674328025306126,0.9874662668665667,13
244,0.19002947734119152,15,46,20,0.5885934516247637,0.7307274413940832,0.005051750123110612,1.1940030246266973,0.9873334761190834,24
342,0.010510749670322748,5,31,15,0.5017614113003148,0.6858220299201471,0.0009455453198225928,0.060080837752446076,0.9865474405654315,51
369,0.001124579825911934,15,129,29,0.5909124836035503,0.5917022549267169,0.0033205591037519565,0.042051564509138675,0.9849625187406297,11
146,0.01400193910536148,6,115,10,0.7218365194179147,0.8400680618993088,0.09521295855982548,0.5368764569561812,0.984527736131934,12
301,0.009742982177104828,5,108,62,0.7449471713473511,0.76771377711025,2.0328306445987563,0.3013537388204259,0.9844206468194474,18
293,0.032820070382308754,5,26,19,0.699052400420669,0.6792557024670438,0.02534129300776047,0.025710539437732174,0.9842621546369672,10
219,0.03232226006309973,5,43,13,0.6770912710537215,0.6574422347427041,0.002289172222705174,0.5869318170810658,0.984127222103234,11
210,0.0049648810171066555,10,38,82,0.5372753218398854,0.9934434683002586,0.7264803074826727,0.0009853225172032562,0.9835125294495608,158
128,0.003782252947903424,4,57,19,0.6224469993652252,0.7458928556632722,0.0015024712712993593,0.004212817837564016,0.9812293853073464,17
348,0.005917607170144194,10,91,26,0.9847923138822793,0.8875664116805573,4.9830438374949075,2.9794544625913595,0.9811222959948598,19
186,0.01689284092508939,4,29,15,0.7395082213446464,0.7047771558149774,0.006195068873800881,0.2738477017888107,0.9808417219961447,15
322,0.0017601578976316212,4,84,60,0.6365360685224752,0.7337593060337759,0.0024838179853096318,6.8959348747100115,0.979239665881345,17
333,0.0011133512795312823,4,63,10,0.6062890015609664,0.9179045225477477,0.48001302441618854,0.20753371796870626,0.9746583850931677,23
331,0.006601984958164864,4,60,39,0.864803089169032,0.8187787356776066,2.7293781650374753,0.022965432344634346,0.9739387449132578,20
